symbol,lookback,fib_level,require_candle_direction,allow_shorts,markov_gate,markov_window,markov_threshold,min_train,train_bars,train_trades,train_long_trades,train_short_trades,train_wins,train_losses,train_win_rate,train_gross_total_return,train_net_total_return,train_annualized_return,train_sharpe,train_max_drawdown,train_avg_trade_return_net,train_exposure,test_bars,test_trades,test_long_trades,test_short_trades,test_wins,test_losses,test_win_rate,test_gross_total_return,test_net_total_return,test_annualized_return,test_sharpe,test_max_drawdown,test_avg_trade_return_net,test_exposure
QQQ,3,0.382,True,True,off,40,0.03,252,753,48,29,19,27,21,0.5625,0.19792595781783962,0.14195654948267178,0.04542549333252932,0.7751621242023551,-0.06377685758230511,0.0028753773560070625,0.06374501992031872,503,36,22,14,17,19,0.4722222222222222,0.01058116852874158,-0.025163871889650302,-0.012687113132663685,-0.16807221849155485,-0.09129076894237187,-0.0005956373717453359,0.07157057654075547
QQQ,3,0.382,True,True,off,40,0.05,126,753,48,29,19,27,21,0.5625,0.19792595781783962,0.14195654948267178,0.04542549333252932,0.7751621242023551,-0.06377685758230511,0.0028753773560070625,0.06374501992031872,503,36,22,14,17,19,0.4722222222222222,0.01058116852874158,-0.025163871889650302,-0.012687113132663685,-0.16807221849155485,-0.09129076894237187,-0.0005956373717453359,0.07157057654075547
QQQ,3,0.382,True,True,off,40,0.05,252,753,48,29,19,27,21,0.5625,0.19792595781783962,0.14195654948267178,0.04542549333252932,0.7751621242023551,-0.06377685758230511,0.0028753773560070625,0.06374501992031872,503,36,22,14,17,19,0.4722222222222222,0.01058116852874158,-0.025163871889650302,-0.012687113132663685,-0.16807221849155485,-0.09129076894237187,-0.0005956373717453359,0.07157057654075547
QQQ,3,0.382,True,True,long_nonnegative,20,0.03,126,753,29,22,7,18,11,0.6206896551724138,0.11708230031150513,0.08525358523925974,0.02775814985784586,0.6601345491163345,-0.03731390561531911,0.0029159119112389664,0.03851261620185923,503,20,18,2,11,9,0.55,0.0308795114557876,0.010484135825810093,0.005238821443488195,0.1195483136134566,-0.06978931454714532,0.0006829931586893325,0.039761431411530816
QQQ,3,0.382,True,True,long_nonnegative,20,0.03,252,753,28,24,4,16,12,0.5714285714285714,0.061068165256455975,0.03181460555130777,0.010536381506478287,0.2833847833782729,-0.037313905615319,0.0012033044105372076,0.03718459495351926,503,20,18,2,11,9,0.55,0.0308795114557876,0.010484135825810093,0.005238821443488195,0.1195483136134566,-0.06978931454714532,0.0006829931586893325,0.039761431411530816
QQQ,3,0.382,True,True,long_nonnegative,20,0.05,126,753,27,19,8,17,10,0.6296296296296297,0.16090663961125862,0.130131131044531,0.041789963111318995,0.8859326750317646,-0.037313905615319,0.004654950658209541,0.035856573705179286,503,22,21,1,13,9,0.5909090909090909,0.06042460676423689,0.03739615322504308,0.018563633425735748,0.3491028997346839,-0.051846446041249994,0.001816120606357436,0.0437375745526839
QQQ,3,0.382,True,True,long_nonnegative,20,0.05,252,753,28,23,5,16,12,0.5714285714285714,0.09532907537353386,0.06516410915862281,0.021351547358597234,0.48961325313665816,-0.05070423308346028,0.002363233202241708,0.03718459495351926,503,22,21,1,13,9,0.5909090909090909,0.06042460676423689,0.03739615322504308,0.018563633425735748,0.3491028997346839,-0.051846446041249994,0.001816120606357436,0.0437375745526839
QQQ,3,0.382,True,True,long_nonnegative,40,0.03,126,753,27,20,7,17,10,0.6296296296296297,0.1594537959933766,0.12871543751234227,0.04135303779004018,0.8824808049524883,-0.03731390561531889,0.004606918981194561,0.035856573705179286,503,20,20,0,11,9,0.55,-0.004215532735100225,-0.023948900306015264,-0.012070820637839597,-0.2791725658764061,-0.05700917471952849,-0.0011291591735882566,0.039761431411530816
QQQ,3,0.382,True,True,long_nonnegative,40,0.03,252,753,29,25,4,17,12,0.5862068965517241,0.11279943182015018,0.08108820017034701,0.02643631933928492,0.5917272806347216,-0.037313905615319,0.002796433507564169,0.03851261620185923,503,20,20,0,11,9,0.55,-0.004215532735100225,-0.023948900306015264,-0.012070820637839597,-0.2791725658764061,-0.05700917471952849,-0.0011291591735882566,0.039761431411530816
QQQ,3,0.382,True,True,long_nonnegative,40,0.05,126,753,25,22,3,14,11,0.56,0.07520935560515185,0.04872278696262544,0.01604826687344496,0.41724831375397725,-0.037313905615319,0.0019985866471039417,0.033200531208499334,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,True,long_nonnegative,40,0.05,252,753,28,26,2,15,13,0.5357142857142857,0.07956490552760953,0.049818903414746485,0.016403542121565362,0.38449495324633914,-0.04375239717314883,0.0018434874717546401,0.03718459495351926,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,True,directional,20,0.03,126,753,22,15,7,14,8,0.6363636363636364,0.0893662596485143,0.06573860736807835,0.021535868462828844,0.5288661098147671,-0.037313905615319,0.0030135734761667947,0.029216467463479414,503,20,18,2,11,9,0.55,0.0308795114557876,0.010484135825810093,0.005238821443488195,0.1195483136134566,-0.06978931454714532,0.0006829931586893325,0.039761431411530816
QQQ,3,0.382,True,True,directional,20,0.03,252,753,16,12,4,10,6,0.625,0.04232671415257094,0.02581503566661114,0.008566146917916795,0.29250461295476954,-0.037313905615319,0.0016824250910686955,0.021248339973439574,503,20,18,2,11,9,0.55,0.0308795114557876,0.010484135825810093,0.005238821443488195,0.1195483136134566,-0.06978931454714532,0.0006829931586893325,0.039761431411530816
QQQ,3,0.382,True,True,directional,20,0.05,126,753,18,10,8,11,7,0.6111111111111112,0.10971661855362935,0.09002076048093421,0.029266814886547365,0.6562363116549459,-0.037313905615319,0.0049596150370430575,0.02390438247011952,503,22,21,1,13,9,0.5909090909090909,0.06042460676423689,0.03739615322504308,0.018563633425735748,0.3491028997346839,-0.051846446041249994,0.001816120606357436,0.0437375745526839
QQQ,3,0.382,True,True,directional,20,0.05,252,753,14,9,5,8,6,0.5714285714285714,0.05470558411266091,0.04008869358336975,0.013241093506370705,0.3819703061700592,-0.037313905615319,0.0029463599621573633,0.01859229747675963,503,22,21,1,13,9,0.5909090909090909,0.06042460676423689,0.03739615322504308,0.018563633425735748,0.3491028997346839,-0.051846446041249994,0.001816120606357436,0.0437375745526839
QQQ,3,0.382,True,True,directional,40,0.03,126,753,19,12,7,13,6,0.6842105263157895,0.15216934354867528,0.13063083507560846,0.041944099747447394,0.937225229872637,-0.037313905615319,0.006619450985274161,0.025232403718459494,503,20,20,0,11,9,0.55,-0.004215532735100225,-0.023948900306015264,-0.012070820637839597,-0.2791725658764061,-0.05700917471952849,-0.0011291591735882566,0.039761431411530816
QQQ,3,0.382,True,True,directional,40,0.03,252,753,16,12,4,10,6,0.625,0.07463591683655135,0.0576440737387367,0.01893270820920745,0.522994439397544,-0.037313905615319,0.0036312470215887904,0.021248339973439574,503,20,20,0,11,9,0.55,-0.004215532735100225,-0.023948900306015264,-0.012070820637839597,-0.2791725658764061,-0.05700917471952849,-0.0011291591735882566,0.039761431411530816
QQQ,3,0.382,True,True,directional,40,0.05,126,753,17,14,3,10,7,0.5882352941176471,0.06845418222431587,0.0505024393036233,0.016624966086530968,0.4596138883299776,-0.037313905615319,0.0030204366120914383,0.02257636122177955,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,True,directional,40,0.05,252,753,15,13,2,8,7,0.5333333333333333,0.04254117036944116,0.02705287276334256,0.00897327412771376,0.26602110670600143,-0.037313905615319,0.0019080686556793107,0.0199203187250996,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
