vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,markov_gate,train_trades,test_trades,test_sharpe,test_net_return,test_max_drawdown,test_win_rate,train_sharpe,gate
120,120,2.5,30,75,1.0,0.8,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
120,120,2.5,30,75,1.0,1.2,10,off,1,1,9.323043,0.001574,0.0,1.0,-6.103076,no_go
120,120,2.5,30,75,1.0,1.2,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
120,120,2.5,30,75,1.2,0.8,10,off,1,1,9.323043,0.001574,0.0,1.0,-6.103076,no_go
120,120,2.5,30,75,1.2,0.8,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
120,120,2.5,30,75,1.2,1.2,10,off,1,1,9.323043,0.001574,0.0,1.0,-6.103076,no_go
120,120,2.5,30,75,1.2,1.2,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
120,240,2.5,30,75,1.0,0.8,10,off,1,1,9.323043,0.001574,0.0,1.0,-6.103076,no_go
120,240,2.5,30,75,1.0,0.8,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
120,240,2.5,30,75,1.0,1.2,10,off,1,1,9.323043,0.001574,0.0,1.0,-6.103076,no_go
120,240,2.5,30,75,1.0,1.2,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
120,240,2.5,30,75,1.2,0.8,10,off,1,1,9.323043,0.001574,0.0,1.0,-6.103076,no_go
120,240,2.5,30,75,1.2,0.8,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
120,240,2.5,30,75,1.2,1.2,10,off,1,1,9.323043,0.001574,0.0,1.0,-6.103076,no_go
120,240,2.5,30,75,1.2,1.2,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
120,360,2.5,30,75,1.0,0.8,10,off,2,1,9.323043,0.001574,0.0,1.0,-6.382622,no_go
120,360,2.5,30,75,1.0,0.8,20,off,2,1,9.323043,0.002929,0.0,1.0,-1.750129,no_go
120,360,2.5,30,75,1.0,1.2,10,off,2,1,9.323043,0.001574,0.0,1.0,-6.33617,no_go
120,360,2.5,30,75,1.0,1.2,20,off,2,1,9.323043,0.002929,0.0,1.0,-2.436139,no_go
120,360,2.5,30,75,1.2,0.8,10,off,2,1,9.323043,0.001574,0.0,1.0,-6.382622,no_go
120,360,2.5,30,75,1.2,0.8,20,off,2,1,9.323043,0.002929,0.0,1.0,-1.750129,no_go
120,360,2.5,30,75,1.2,1.2,10,off,2,1,9.323043,0.001574,0.0,1.0,-6.33617,no_go
120,360,2.5,30,75,1.2,1.2,20,off,2,1,9.323043,0.002929,0.0,1.0,-2.436139,no_go
60,360,2.5,40,70,1.0,0.8,20,off,5,10,9.134406,0.011097,-0.00576,0.6,-11.217797,go
120,360,2.0,35,70,1.0,0.8,20,off,24,12,9.053196,0.010844,-0.003571,0.5833,-19.533502,go
60,240,2.0,35,75,1.0,1.2,20,off,10,7,8.992488,0.008186,-0.003485,0.7143,-15.240995,no_go
60,240,2.0,35,75,1.2,1.2,20,off,10,7,8.992488,0.008186,-0.003485,0.7143,-15.240995,no_go
60,360,1.5,35,75,1.2,1.2,20,off,32,7,8.992488,0.008186,-0.003485,0.7143,-17.205372,no_go
60,360,2.0,35,75,1.0,1.2,20,off,14,7,8.992488,0.008186,-0.003485,0.7143,-16.909474,no_go
60,360,2.0,35,75,1.2,1.2,20,off,14,7,8.992488,0.008186,-0.003485,0.7143,-16.909474,no_go
90,240,2.0,35,75,1.0,1.2,20,off,21,7,8.992488,0.008186,-0.003485,0.7143,-19.913929,no_go
90,240,2.0,35,75,1.2,1.2,20,off,21,7,8.992488,0.008186,-0.003485,0.7143,-19.913929,no_go
90,360,2.0,35,75,1.0,1.2,20,off,19,7,8.992488,0.008186,-0.003485,0.7143,-16.673431,no_go
90,360,2.0,35,75,1.2,1.2,20,off,19,7,8.992488,0.008186,-0.003485,0.7143,-16.673431,no_go
120,360,2.5,40,70,1.0,1.2,20,off,14,9,8.97088,0.011031,-0.004756,0.6667,-15.709986,no_go
60,360,2.5,35,65,1.0,1.2,20,off,4,11,8.942437,0.011505,-0.004799,0.6364,-12.133634,go
90,120,2.0,35,75,1.2,0.8,20,off,12,5,8.941908,0.007341,-0.002526,0.6,-16.81037,no_go
60,360,2.5,40,75,1.0,0.8,20,off,3,6,8.926671,0.008097,-0.00576,0.6667,-7.171817,no_go
120,360,2.0,35,70,1.0,1.2,20,off,23,12,8.922715,0.011432,-0.004756,0.6667,-16.981131,go
90,360,2.5,40,70,1.2,0.8,20,off,6,8,8.894663,0.00853,-0.003899,0.625,-10.636406,no_go
120,360,2.0,35,75,1.0,0.8,20,off,22,8,8.872052,0.007845,-0.003332,0.625,-17.663459,no_go
120,360,2.0,35,75,1.2,0.8,20,off,22,8,8.872052,0.007845,-0.003332,0.625,-17.663459,no_go
