vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,test_sharpe,test_trades,test_net_return,test_max_drawdown,test_win_rate,gate
120,180,1.5,30,60,1.0,0.8,20,-36.021237,25,-0.032327,-0.032327,0.12,no_go
120,180,1.5,35,70,1.0,0.8,20,-36.256063,21,-0.03206,-0.03206,0.0952,no_go
60,180,1.5,25,60,1.0,0.8,20,-36.333277,21,-0.030556,-0.030556,0.0952,no_go
60,180,1.5,25,60,1.0,0.8,15,-36.400889,21,-0.030475,-0.030475,0.0952,no_go
60,180,1.5,30,60,1.0,0.8,15,-36.465851,25,-0.033365,-0.033365,0.12,no_go
60,180,1.5,30,60,1.0,0.8,20,-36.576645,25,-0.033521,-0.033521,0.12,no_go
120,240,1.0,25,60,1.0,0.8,15,-37.591569,27,-0.034593,-0.034593,0.1111,no_go
90,240,1.0,35,70,1.0,0.8,15,-37.755947,23,-0.033681,-0.033681,0.0435,no_go
120,240,1.0,35,70,1.0,0.8,15,-37.755947,23,-0.033681,-0.033681,0.0435,no_go
120,240,1.0,30,60,1.0,0.8,15,-37.811986,31,-0.037471,-0.037471,0.129,no_go
90,240,1.5,35,65,1.0,0.8,20,-38.088508,25,-0.037174,-0.037174,0.12,no_go
90,180,1.5,25,60,1.0,0.8,20,-38.126889,23,-0.033154,-0.033154,0.087,no_go
90,240,1.5,35,65,1.0,0.8,15,-38.153366,25,-0.036004,-0.036004,0.08,no_go
90,180,1.5,25,60,1.0,0.8,15,-38.194279,23,-0.033074,-0.033074,0.087,no_go
90,180,1.5,30,60,1.0,0.8,15,-38.209031,27,-0.035956,-0.035956,0.1111,no_go
120,240,1.0,25,60,1.0,0.8,20,-38.22869,27,-0.035253,-0.035253,0.1111,no_go
90,180,1.5,30,60,1.0,0.8,20,-38.315581,27,-0.036112,-0.036112,0.1111,no_go
90,240,1.0,35,70,1.0,0.8,20,-38.410046,23,-0.035103,-0.035103,0.087,no_go
120,240,1.0,35,70,1.0,0.8,20,-38.410046,23,-0.035103,-0.035103,0.087,no_go
120,240,1.0,30,60,1.0,0.8,20,-38.554529,31,-0.038204,-0.038204,0.129,no_go
90,180,1.0,35,70,1.0,0.8,15,-38.931392,24,-0.035722,-0.035722,0.0417,no_go
120,180,1.0,35,70,1.0,0.8,15,-38.931392,24,-0.035722,-0.035722,0.0417,no_go
60,240,1.5,35,65,1.0,0.8,20,-39.048329,26,-0.038336,-0.038336,0.1154,no_go
120,240,1.5,35,65,1.0,0.8,20,-39.090524,26,-0.03861,-0.03861,0.1154,no_go
120,240,1.5,35,65,1.0,0.8,15,-39.171256,26,-0.037443,-0.037443,0.0769,no_go
90,180,1.0,35,70,1.0,0.8,20,-39.565855,24,-0.03714,-0.03714,0.0833,no_go
120,180,1.0,35,70,1.0,0.8,20,-39.565855,24,-0.03714,-0.03714,0.0833,no_go
60,180,1.0,35,70,1.0,0.8,15,-39.961937,25,-0.037196,-0.037196,0.04,no_go
60,240,1.0,35,70,1.0,0.8,15,-39.961937,25,-0.037196,-0.037196,0.04,no_go
60,240,1.5,35,65,1.0,0.8,15,-40.161192,26,-0.038977,-0.038977,0.0769,no_go
60,180,1.0,35,70,1.0,0.8,20,-40.577303,25,-0.038612,-0.038612,0.08,no_go
60,240,1.0,35,70,1.0,0.8,20,-40.577303,25,-0.038612,-0.038612,0.08,no_go
60,240,1.0,25,60,1.0,0.8,15,-40.906017,30,-0.040332,-0.040332,0.1,no_go
60,240,1.0,30,60,1.0,0.8,15,-41.069108,34,-0.043192,-0.043192,0.1176,no_go
