vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,test_sharpe,test_trades,test_net_return,test_max_drawdown,test_win_rate,gate
65,390,2.5,35,62,1.0,0.8,22,8.456295,9,0.010923,-0.005419,0.5556,no_go
60,330,2.5,32,68,1.0,0.8,22,8.335697,9,0.01044,-0.003571,0.5556,no_go
60,330,2.5,35,68,1.0,0.8,22,8.335697,9,0.01044,-0.003571,0.5556,no_go
60,360,2.5,32,68,1.0,0.8,22,8.335697,9,0.01044,-0.003571,0.5556,no_go
65,330,2.5,32,68,1.0,0.8,22,8.335697,9,0.01044,-0.003571,0.5556,no_go
65,360,2.5,32,68,1.0,0.8,22,8.335697,9,0.01044,-0.003571,0.5556,no_go
60,390,2.5,32,65,1.0,0.8,20,8.189334,7,0.008978,-0.003571,0.5714,no_go
60,390,2.5,32,68,1.0,0.8,20,8.189334,7,0.008978,-0.003571,0.5714,no_go
65,390,2.5,32,65,1.0,0.8,20,8.189334,7,0.008978,-0.003571,0.5714,no_go
65,390,2.5,32,68,1.0,0.8,20,8.189334,7,0.008978,-0.003571,0.5714,no_go
50,330,2.0,32,65,1.0,0.8,22,8.176776,11,0.010512,-0.003571,0.5455,go
50,330,2.0,35,65,1.0,0.8,22,8.176776,11,0.010512,-0.003571,0.5455,go
50,360,2.0,32,65,1.0,0.8,22,8.176776,11,0.010512,-0.003571,0.5455,go
50,360,2.0,35,65,1.0,0.8,22,8.176776,11,0.010512,-0.003571,0.5455,go
50,390,2.0,32,65,1.0,0.8,22,8.176776,11,0.010512,-0.003571,0.5455,go
50,390,2.0,35,65,1.0,0.8,22,8.176776,11,0.010512,-0.003571,0.5455,go
50,360,2.5,32,62,1.0,0.8,25,8.085139,11,0.01155,-0.005419,0.5455,go
50,360,2.5,35,62,1.0,0.8,25,8.085139,11,0.01155,-0.005419,0.5455,go
50,360,2.5,38,62,1.0,0.8,25,8.085139,11,0.01155,-0.005419,0.5455,go
60,330,2.5,32,68,1.0,0.8,20,8.075727,9,0.009253,-0.003571,0.5556,no_go
60,330,2.5,35,68,1.0,0.8,20,8.075727,9,0.009253,-0.003571,0.5556,no_go
